なくなっ	12
なにか	12
はす	12
はれ	12
び	12
ひと	12
ひとつ	12
マ	12
まして	12
まるで	12
悪い	12
以前	12
違	12
於	12
黄	12
化	12
会社	12
感じる	12
機械	12
求め	12
見れ	12
原稿	12
好き	12
今度	12
砂	12
裁判所	12
作	12
作品	12
産	12
耳	12
自動車	12
蒐集	12
書く	12
除い	12
常に	12
色彩	12
千年	12
前進	12
大正	12
地球	12
虫	12
底	12
程度	12
点	12
百済	12
不安	12
婦人	12
歩い	12
迄	12
無い	12
目的	12
予	12
老人	12
いつ	11
いふ	11
かかる	11
がする	11
かり	11
ごと	11
コルト	11
これらの	11
さて	11
せる	11
タ	11
テラス	11
どうやら	11
とても	11
どれ	11
ならば	11
ぬが	11
ぬこ	11
はれる	11
まず	11
或は	11
以来	11
一種	11
一八	11
化し	11
家内	11
海	11
各	11
確保	11
帰	11
汽車	11
空	11
見せ	11
工業	11
行為	11
最高裁判所	11
財産	11
事業	11
次	11
芝居	11
十二	11
十分	11
出席	11
書斎	11
諸国	11
紹介	11
色々	11
食	11
真	11
進ん	11
人形	11
世の中	11
製造	11
青	11
相違	11
造型	11
即ち	11
体	11
代表	11
大阪	11
団子	11
知っ	11
置い	11
天皇	11
努力	11
奴隷	11
特別	11
二条	11
文芸	11
勉強	11
報告	11
理解	11
立つ	11
立法	11
緑	11
當	11
ああ	10
あたり	10
ある日	10
いつも	10
いの	10
うだ	10
えば	10
おれ	10
がさ	10
がま	10
ざ	10
させる	10
じ	10
すぐ	10
すべ	10
せしめ	10
たく	10
っと	10
つと	10
でなければ	10
ところが	10
となり	10
ナ	10
なかに	10
なるほど	10
における	10
ネ	10
ひとり	10
ふと	10
へば	10
ほう	10
むしろ	10
らしく	10
リング	10
わかる	10
意志	10
異常	10
一緒	10
応用	10
横	10
何時	10
歌	10
火	10
界	10
覚え	10
学問	10
記録	10
急	10
教養	10
胸	10
局	10
近頃	10
空間	10
系統	10
権	10
現代	10
古	10
吾	10
最初	10
冊	10
四条	10
字	10
持た	10
時々	10
時間	10
自我	10
七条	10
実に	10
殊に	10
受ける	10
十日	10
重	10
純粋	10
将来	10
少く	10
章	10
色神	10
真に	10
性質	10
政治	10
整理	10
製作	10
先	10
然	10
早速	10
総	10
草	10
台詞	10
大きい	10
通り	10
冬	10
動物	10
入っ	10
入れ	10
反対	10
批判	10
被	10
美しい	10
百間	10
普通	10
文	10
別	10
保障	10
本質	10
枚	10
満足	10
夢殿	10
無	10
無理	10
明器	10
唯一	10
有し	10
与え	10
洋	10
學	10
爲	10
うち	9
える	9
かに	9
ザイル	9
さらに	9
したら	9
すぎ	9
スチル	9
すら	9
そういう	9
それも	9
たとえ	9
だの	9
づ	9
つづけ	9
ド	9
どうして	9
どこ	9
どんな	9
にとって	9
ばい	9
はか	9
はわ	9
ホン	9
まったく	9
マン	9
ュ	9
愛	9
為	9
一九	9
一寸	9
遠い	9
過ぎ	9
外国	9
革命	9
贋物	9
期待	9
帰る	9
恐らく	9
教え	9
近代	9
苦しみ	9
繰返し	9
権限	9
現れ	9
現実	9
五条	9
公開	9
行動	9
高	9
高い	9
合	9
国際	9
困る	9
差し	9
材料	9
作成	9
三百	9
使用	9
主義	9
住ん	9
出す	9
初め	9
初めて	9
書き	9
消え	9
場	9
触れ	9
深い	9
西洋	9
村人	9
多数	9
態度	9
地位	9
宙	9
眺め	9
長	9
哲学	9
土地	9
答	9
得る	9
二つ	9
任命	9
年間	9
年齢	9
俳句	9
彼女	9
描い	9
父	9
癖	9
別に	9
暮らし	9
民間	9
明るい	9
明治	9
妄想	9
勿論	9
訳	9
慾	9
流行	9
了	9
連絡	9
籠	9
あらゆる	8
